,Team,University,Points
306,wife buff is debuff,university of leeds,10.0
307,still rampaging,staffordshire university,9.0
308,durham deez nuts white,durham university,9.0
309,uoy 4th,university of york,8.0
310,freaks and geeks,university of york,8.0
311,trent thunder blue,nottingham trent university,7.0
312,trentthunder green,nottingham trent university,7.0
313,first flash,university of st andrews,6.0
314,abertay lads,university of abertay dundee,6.0
315,durham disasters,durham university,6.0
316,t1 eboracum esports ysj,york st john university,6.0
317,why,university of york,5.0
318,open,birmingham city university,5.0
319,beans,university of manchester,5.0
320,dont jinx it,university of leeds,4.0
321,nottingham esp,university of nottingham,4.0
322,gta,lancaster university,4.0
323,sunderlandsimpstompers,university of sunderland,4.0
324,uomt3,university of manchester,3.0
325,monarchs,queen margaret university,3.0
326,mmu minotaur team 2,manchester metropolitan university,3.0
327,needlessly large rods,university of nottingham,3.0
328,thicc frost irelia,university of liverpool,2.0
329,speelings esports academy mark ii,keele university,2.0
330,gsocs battle academia,university of stirling,2.0
331,raw pasta enjoyers,nottingham trent university,2.0
332,widepeepohappy,university of lincoln,1.0
333,huddersfield houndz,university of huddersfield,1.0
334,w w watts going on on,heriot watt university,1.0
335,hallam inters,sheffield hallam university,1.0
336,m9 kekless,university of manchester,0.0
337,letrolls,loughborough university,0.0
338,cass in boots,university of leeds,0.0
339,angry swans,university of lincoln,0.0
340,bangor lol team 2,bangor university,0.0
341,big duck energy,durham university,0.0
342,irate irons,university of glasgow,0.0
343,pork benson,university of sunderland,0.0
344,cal x james1,birmingham city university,0.0
345,unarmed and dangerous,university of manchester,0.0
346,london staffs cepheus,staffordshire university,0.0
347,the church of siontology,university of dundee,0.0
348,tcg,staffordshire university,0.0
349,salford mufasas,university of salford,0.0
350,watts my jungle doing,heriot watt university,0.0
351,trent thunder red,nottingham trent university,0.0
352,5 man botlane,university of birmingham,0.0
353,mmu minotaurs team 3,manchester metropolitan university,0.0
354,needlessly large rod,university of leicester,0.0
355,uea pelicans,university of east anglia,0.0
356,t2 eboracum esports ysj,york st john university,0.0
357,yummy krug,durham university,0.0
358,uol blebs,university of lincoln,0.0
359,cosmic cats,de montfort university,0.0
360,grey warwick,university of warwick,145.0
361,grey warwick academy,university of warwick,132.5
362,exe machina,university of exeter,123.0
363,false facade,queen mary university of london,123.0
364,lowhampton,roehampton university,115.0
365,swansea tsunami,swansea university,111.0
366,konrads kids,university of bath,105.0
367,scrambled fanclub,university of kent,105.0
368,bristol warriors,university of bristol,97.0
369,deus exe,university of exeter,97.0
370,kardiff kittens,cardiff university,91.0
371,kcl lions,kings college london,87.0
372,surrey wardens,university of surrey,81.0
373,svge lol red,university of southampton,81.0
374,reading knights aka tsm 2,university of reading,69.0
375,fpx academy,university of the arts london,69.0
376,kcl apelsin,kings college london,69.0
377,rift slayers,university of sussex,69.0
378,swansea tempest,swansea university,59.0
379,ucl exodus,university college london,55.0
380,coventry blaze,coventry university,50.0
381,boosted bristol v3,university of bristol,50.0
382,royal bears,royal holloway university of london,44.0
383,brunel bangers,brunel university,44.0
384,fmo,university of kent,44.0
385,middlesex mafia blue,middlesex university,44.0
386,roehampton dragons,roehampton university,39.0
387,intersatherts,university of hertfordshire,37.0
388,reading 2,university of reading,34.0
389,intperial,imperial college london,34.0
390,light black warwick,university of warwick,29.0
391,rift assassins,university of sussex,29.0
392,big bad warwick,university of warwick,29.0
393,plymouth leviathans alpha squad,university of plymouth,29.0
394,imperiai ciowns,imperial college london,27.0
395,whose toes are those,cardiff university,26.0
396,psy 5,roehampton university,26.0
397,ucl djj,university college london,26.0
398,surrender,university of surrey,24.0
399,sigma kayle,university of cambridge,24.0
400,big bath bombers,university of bath,24.0
401,ic boosted broadband,imperial college london,24.0
402,last whisper,queen mary university of london,21.0
403,single dingle,oxford university,20.0
404,svge lol yellow,university of southampton,20.0
405,uwe sea stags black 21_22,university of the west of england,19.0
406,middlesex mafia cyan,middlesex university,19.0
407,westminster dragons,university of westminster,19.0
408,westminster dragons,university of westminster,19.0
409,bristol bee vers,university of bristol,17.0
410,svge lol orange,university of southampton,17.0
411,ucl blew,university college london,16.0
412,chimps 2,brunel university,15.0
413,league fire 1,coventry university,15.0
414,rabbit,brunel university,14.0
415,kclyellow,kings college london,14.0
416,makka pakka,university of hertfordshire,13.0
417,roehampton wendigos,roehampton university,13.0
418,tech park tyrants,university of chichester,12.0
419,hench & benched,university of kent,12.0
420,rift clappers,university of sussex,11.0
421,bright0n pirates,university of brighton,11.0
422,swansea tide turners,swansea university,10.0
423,warwick reborn,university of warwick,10.0
424,flying slippers,university of west london,9.0
425,papa johns warwick,university of warwick,9.0
426,portsmouth pirates,university of portsmouth,8.0
427,middlesex mafia azure,middlesex university,7.0
428,overexetenders,university of exeter,7.0
429,aberlitzcrank,aberystwyth university,6.0
430,platinum disco,university of exeter,6.0
431,a vibe,university of kent,6.0
432,bristol stingers,university of bristol,5.0
433,surracha,university of surrey,5.0
434,uwe seastags white,university of the west of england,5.0
435,firefang warwick,university of warwick,5.0
436,5 supports 1 team,coventry university,4.0
437,car zix crusaders,cardiff university,4.0
438,deathwish,university of reading,4.0
439,plymouth leviathans team beta,university of plymouth,4.0
440,bootleg coventry phoenix,coventry university,3.0
441,shower adventure,university of bath,3.0
442,surrey chads,university of surrey,3.0
443,ravenous sharks,university of sussex,3.0
444,sussy fortnite balls,university of northampton,2.0
445,slash all,imperial college london,2.0
446,airport speedrun,queen mary university of london,2.0
447,monarchs,queen margaret university,2.0
448,buff ryze,university of kent,1.0
449,iron swan wings,swansea university,1.0
450,lol kcl green,kings college london,1.0
451,silverdotexe,university of exeter,1.0
452,built different,bournemouth university,0.0
453,sussy amogus bakas,university of northampton,0.0
454,ucl gold,university college london,0.0
455,tahm kentch,university of kent,0.0
456,hertsnia,university of hertfordshire,0.0
457,cambridge ravens red,university of cambridge,0.0
458,jammy dodgers,university of brighton,0.0
459,uwe sea stags red 2,university of the west of england,0.0
460,roehalampton,roehampton university,0.0
461,gold exeperience,university of exeter,0.0
462,silversung galaxy,cardiff university,0.0
463,swansea little pogchamps,swansea university,0.0
464,imperial mandate,imperial college london,0.0
465,portsmouth inters,university of portsmouth,0.0
466,run it down for roe,roehampton university,0.0
467,ucl red,university college london,0.0
468,feral warwick,university of warwick,0.0
469,marauder warwick,university of warwick,0.0
470,aggressively mediocre owls,oxford university,0.0
471,bu blackfrosts,bournemouth university,0.0
472,coventry ground zero,coventry university,0.0
473,svge lol blue,university of southampton,0.0
474,team not you,cardiff university,0.0
475,chonky sharks,university of sussex,0.0
476,brunel panda party,brunel university,0.0
477,i miss my exe,university of exeter,0.0
478,rising sharks,university of sussex,0.0
479,the red buffs,university of brighton,0.0
480,swansea ran out of names,swansea university,0.0
481,t3 solid,university of brighton,0.0
482,team aced,university of kent,0.0
483,hyena warwick,university of warwick,0.0
484,watermelon waddlers,staffordshire university,150.0
485,warwick angels,university of warwick,135.0
486,portsmouth paladins,university of portsmouth,127.0
487,royal bears ow,royal holloway university of london,121.0
488,viking pigeons,northumbria university,116.0
489,drywalldrinkers,staffordshire university,112.0
490,manowt1,university of manchester,108.0
491,kentamines,university of kent,104.0
492,uwe seastags black,university of the west of england,100.0
493,ucl team 1,university college london,96.0
494,uea bluejays,university of east anglia,92.0
