DondaDeDondaIPutItInTheHonda,University Of Glasgow,29
Watt Wyverns,Heriot Watt University,29
,,
WidePeepoHappy,University Of Lincoln,27
XLerated Lemons,Loughborough University,26
Abertay Jade,University Of Abertay Dundee,26
Jungle Gap,Liverpool John Moores University,26
Trent Thunder Blue,Nottingham Trent University,24
UoY Team1,University Of York,24
Wife Buff is Debuff,University Of Leeds,24
Durham Dairylea Dunkers,Durham University,24
,,
Staffordshire London Rampage,Staffordshire University,22
Red Sky,Aston University,21
DMU T2,De Montfort University,20
WHY,University Of York,20
First flash,University Of St Andrews,19
0161 Dons,University Of Manchester,19
Ivern Republic of Birmingham,University Of Birmingham,19
Ladcaster,Lancaster University,19
,,
Open,Birmingham City University,17
UoY 4th,University Of York,17
NaCl Reformed,Newcastle University,16
LanCaster Minions,Lancaster University,16
Abertay LADS,University Of Abertay Dundee,15
SunderlandSimpStompers,University Of Sunderland,15
Bang Tidy,Bangor University,14
Derby Raptors Team 2,University Of Derby,14
Parent diff,University Of Leeds,13
Jonnys Juicers,University Of Lincoln,13
UEA Hawks V2,University of East Anglia,12
beans,University Of Manchester,12
GtA,Lancaster University,11
Durham Deez Nuts White,Durham University,11
Bangor LoL Team 2,Bangor University,10
Vanix Esports Pink,Staffordshire University,10
UoM_T3,University Of Manchester,9
Hallam Inters,Sheffield Hallam University,9
Salford Mufasas,University Of Salford,8
Monarchs,Queen Margaret University,8
CEOs,Sheffield Hallam University,7
Nottingham ESP,University Of Nottingham,7
Speelings Esports Academy Mark II,Keele University,6
Smeg Hill LOL,Edge Hill University,6
Trent_Thunder Green,Nottingham Trent University,6
MMU Minotaur team 2,Manchester Metropolitan University,6
Jo,University Of Abertay Dundee,5
Freaks And Geeks,University Of York,5
LeTrolls,Loughborough University,5
The Church of Siontology,University Of Dundee,5
L9,University Of Leicester,4
Needlessly Large Rod,University Of Leicester,4
Ncl Gamers,Newcastle University,4
MMU Minotaurs Team 3,Manchester Metropolitan University,4
T1 Eboracum Esports YSJ,York St John University,3
Trent Thunder Red,Nottingham Trent University,3
Dont Jinx It,University Of Leeds,3
Unarmed and Dangerous,University Of Manchester,3
W w watts going on on,Heriot Watt University,2
GSOCs Battle Academia,University Of Stirling,2
Still Rampaging,Staffordshire University,2
T2 Eboracum Esports YSJ,York St John University,2
Backshalls Finest,Bangor University,1
Pork Benson,University Of Sunderland,1
watts my jungle doing,Heriot Watt University,1
M9 Kekless,University Of Manchester,1
,,
Portsmouth Paladins,University Of Portsmouth,150
Watermelon Waddlers,Staffordshire University,135
Team Dynasty,Roehampton University,127
Warwick Angels,University of Warwick,121
ManOWT1,University of Manchester,116
Royal Bears OW,Royal Holloway University of London,112
404,University of York,108
Reading Knights,University of Reading,104
Warwick Angles,University of Warwick,100
Bristol Bears Bees Battlestar Galactica,University of Bristol,96
UoB Hades,University of Birmingham,92
UWE SeaStags Black,University of The West of England,88
,,
Coventry Overwatch,Coventry University,84
LEEM_OW v2,University of Abertay Dundee,80
Lincoln IMPosters,University of Lincoln,76
Southampsters,University of Southampton,72
UEA Bluejays,University of East Anglia,68
LoughBruh,Loughborough University,64
CamDu Punters,University of Cambridge,60
Viking Pigeons,Northumbria University,56
BU Barracudas,Bournemouth University,52
Durham Defenders,Durham University,49
dot exe,University of Exeter,47
Leeds DLC,University of Leeds,45
,,
Cardiff Comrades,Cardiff University,43
drywalldrinkers,Staffordshire University,41
Newcastle Uni,Newcastle University,39
Lancaster Bomber,Lancaster University,37
Dundee Vanguard,University of Dundee,35
Caledonian Chargers OW,Glasgow Caledonian University,33
BCUseless,Birmingham City University,31
Plymouth Leviathans,University of Plymouth,29
Surrey Stags,University of Surrey,28
Oxford Brookes Vipers Overwatch,Oxford Brookes University,28
Trent Thunder Blue,Nottingham Trent University,27
Derby Raptors Educational Meme Club,University of Derby,26
DoughNotts,University of Nottingham,26
Heavens Rejects,University of Warwick,25
UWE SeaStags Red,University of The West of England,24
Xx_Essex_Blades_xX,University of Essex,24
,,
Plymouth Leviathans B,University of Plymouth,23
Average Nine Enjoyers,University of York,22
Sheffield Dragons,University of Sheffield,22
Chi Noble,University of Chichester,21
Keeles Row,Keele University,20
Pompey B,University of Portsmouth,20
Glasgow Winstons fr,University of Glasgow,19
Swansea Ciwcymbrau Mor,Swansea University,19
All Known Laws Of Aviation,University of Bristol,18
Bath BobOmbs,University of Bath,18
Kentacetamol,University of Kent,17
BangorOW team,Bangor University,17
Eboracum eSports,York St John University,16
Kings Row College,Kings College London,16
Ls,University of Southampton,15
Team Valkyrie,University of Abertay Dundee,15
Monkey Mondays,University of Northampton,14
MMU Minotaurs OW,Manchester Metropolitan University,14
Falmouth Foxes,FXU (Falmouth & Exeter Student's Union),13
Hull Hornets,University of Hull,13
Glasgow Potent Substructures,University of Glasgow,12
Durham Defenders 2,Durham University,12
Watt Wyverns,Heriot Watt University,11
gaggle exe,University of Exeter,11
Teesside Turnips,Teesside University,10
Westminster Dragons,University of Westminster,10
UCL Team 2,University College London,9
UoL Sussy Chunguses,University of Leeds,9
The Alpha Betas,University of Warwick,8
Glasgow Switches,University of Glasgow,8
Sheffield Wyverns,University of Sheffield,7
