Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Valorant,Smash (Teams),TFT Oct,Smash Oct,UFG Tekken,GT Championship,F1 2020 Championship,F1 2020 Championship
40,University of Manchester,299,11,0,207,27,0,34,0,0,0,0,0,17,2,1
41,University of Salford,296,0,0,103,0,0,176,0,7,0,10,0,0,0,0
42,Coventry University,293,159,0,6,60,3,0,0,0,0,6,0,59,0,0
43,University of Sheffield,286,140,47,0,8,17,16,0,0,0,0,0,47,0,11
44,University of Liverpool,283,4,1,0,0,121,157,0,0,0,0,0,0,0,0
45,Oxford Brookes University,279,20,0,0,0,135,24,100,0,0,0,0,0,0,0
46,University of Plymouth,274,0,17,162,47,0,40,0,0,0,0,0,8,0,0
47,London South Bank University,260,0,0,32,2,0,0,10,67,14,49,0,6,55,25
48,Aston University,240,43,0,140,0,24,0,25,0,8,0,0,0,0,0
49,Roehampton University,233,0,0,143,0,0,38,49,0,3,0,0,0,0,0
50,University of Abertay Dundee,230,0,0,189,26,0,7,0,0,0,8,0,0,0,0
51,Leeds Beckett University,202,0,0,57,0,0,145,0,0,0,0,0,0,0,0
52,University of Brighton,200,100,0,23,0,0,77,0,0,0,0,0,0,0,0
53,University of Glasgow,180,0,10,25,110,0,6,0,12,0,17,0,0,0,0
54,Bangor University,179,18,39,53,13,0,15,27,0,0,0,0,0,0,14
55,University of Hull,161,0,26,0,10,0,0,76,19,3,27,0,0,0,0
56,University of Derby,159,21,22,2,28,5,42,39,0,0,0,0,0,0,0
57,Middlesex University,158,1,0,144,0,0,4,0,0,9,0,0,0,0,0
58,Queens University Belfast,157,0,0,3,14,53,18,56,0,0,13,0,0,0,0
59,University of Chichester,151,78,0,27,0,23,0,0,0,0,2,0,0,21,0
60,Edge Hill University,134,0,0,11,0,15,0,108,0,0,0,0,0,0,0
61,University of St Andrews,126,11,47,16,52,0,0,0,0,0,0,0,0,0,0
62,Manchester Metropolitan University,125,43,0,0,0,60,0,22,0,0,0,0,0,0,0
63,Cardiff Metropolitan University,121,0,0,0,0,0,53,68,0,0,0,0,0,0,0
64,Aberystwyth University,118,0,0,72,0,0,46,0,0,0,0,0,0,0,0
65,Sheffield Hallam University,107,0,0,9,0,0,27,71,0,0,0,0,0,0,0
66,University of Northampton,95,0,0,67,22,0,0,0,0,0,6,0,0,0,0
67,University Of Gloucestershire,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0
68,University of Strathclyde,93,45,0,48,0,0,0,0,0,0,0,0,0,0,0
69,Northumbria University,84,0,0,28,0,6,38,0,0,0,12,0,0,0,0
70,York St John University,77,10,0,22,37,0,0,0,3,0,0,0,0,5,0
71,Brunel University,75,9,0,0,0,14,0,4,13,0,15,0,3,17,0
72,University of the Arts London,66,0,0,66,0,0,0,0,0,0,0,0,0,0,0
73,London School of Economics,61,0,52,0,0,0,0,0,0,9,0,0,0,0,0
74,University Of Chester,58,0,0,0,0,0,0,0,0,0,58,0,0,0,0
75,University of Edinburgh,47,1,0,0,0,0,18,0,0,28,0,0,0,0,0
76,Glasgow Caledonian University,40,4,0,32,0,4,0,0,0,0,0,0,0,0,0
