Provisional 2021 Winter BUEC Points Public : Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,British University Esports Championship Winter Standings,,,,,,,,,,,,,,,,,,,,CS:GO,,,,,Dota 2,,,,,League of Legends,,,,,Overwatch,,,,,Rainbow 6 Siege,,,,,Rocket league,,,,,Valorant,,,,,Smash Teams,,,,,TFT,,,,,Smash,,,,,BUSR - GT Championship,,,,,BUSR - F1 2021 Championship,,,,,UFG- Melty Blood,,,,,UFG- Guilty Gear Strive,,,,,UFG - Tekken,,133,,,,
,Rank,University,Total,CS:GO,Dota 2,League of Legends,Overwatch,Rainbow 6,Rocket League,Smash (Teams),Valorant,TFT Oct,Smash Oct,GT Championship,F1 2020 Championship,UFG- Melty,UFG- Guilty,UFG - Tekken,,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,Final Finish,Team,University,Points,,,
,20,Keele University,685,87,0,136,20,116,222,26,76,0,0,0,0,0,2,0,,,2,Warwick Stretchyboiz Reborn,University Of Warwick,98,,10,LSU DOTA,Loughborough University,27,,,Salad Fingers,University Of Salford,97,,6,LoughBruh,Loughborough University,64,,6,Birmingham Bruhmmies,University of Birmingham,64,,,Nottingham Trent Thunder,Nottingham Trent University,101,,19,Abertay University A team,University Of Abertay Dundee,95,,19,UWE Sea Stags Red,University of the West of England,18,,,Greenish Purple,University of Manchester,2,,,George Oswick,University of Bristol,5,,19,Joshua Perrett,University of the West of England,7,,19,Haris Chughtai,Roehampton University,13,,19,a$ap ahri,University of Warwick,1,,,Woeger,University Of Liverpool,7,,,,,,,,
,21,Newcastle University,677,174,0,134,39,110,43,68,93,0,12,0,4,0,0,0,,,3,Panopto eSports,Imperial College London,96,,11,UCL AfterShock,University College London,26,,,False Facade,Queen Mary University Of London,97,,7,CamDu Punters,University of Cambridge,60,,7,Bruhmmies 2 Electric Boogaloo,University of Birmingham,60,,Division 3,,,,,,LJMU Valo A,Liverpool John Moores University,95,,20,Imperial Nickelodeon All Star Brawl Team,Imperial College London,16,,,ROE Rogue,Roehampton University,2,,,Jacob Edward Tanner,University of Plymouth,5,,20,Lewis Grant-Smith,London South Bank University,6,,20,Callum Vickers,London South Bank University,12,,20,Dan Bridges,University of Warwick,1,,,Sub0ptimal,Ulster University,7,,,,,,,,
,22,University of Bristol,649,123,139,148,114,18,21,0,61,12,13,0,0,0,0,0,,,4,ENDLESS,University Of Essex,94,,12,Simperial,Imperial College London,24,,,Swansea Tsunami,Swansea University,97,,8,Viking Pigeons,Northumbria University,56,,8,Simple As,University of Lincoln,56,,1,Exeterminators,University Of Exeter,96,,21,Fuego,Oxford Brookes University,91,,21,Durham Defenders 2,Durham University,16,,,The Darter,Durham University,2,,,lolahmed,City University Of London,5,,21,Thomas Cruickshanks,University of Nottingham,6,,21,George Willcocks,Nottingham Trent University,11,,,Josh_,Swansea University,1,,,TitanicWomble,Teesside University,7,,,,,,,,
,23,University of Kent,648,47,0,104,19,64,163,45,160,0,22,0,24,0,0,0,,,5,Free Range Chickens,University Of Gloucestershire,92,,,,,,,1,Grey Warwick Academy,University Of Warwick,92,,9,BU Barracudas,Bournemouth University,52,,9,Coventry Fire,Coventry University,52,,2,Nott Inappropriate,University Of Nottingham,94,,,BURNIN v2,Staffordshire University,91,,22,Northampton Gorillas,University of Northampton,15,,,debster1999,University of Hull,2,,,Riley Giddings,University of Plymouth,5,,22,Alec Smith,Swansea University,6,,22,Yaser,University of Manchester,10,,,,,,,,RayRB,University Of York,7,,,,,,,,
,24,University of Leeds,630,91,47,148,54,173,114,0,3,0,0,0,0,0,0,0,,,6,Elo Recovery Service,University Of Southampton,90,,Division 3,,,,,2,Whats NSE,University Of Sheffield,90,,10,Durham Defenders,Durham University,49,,10,Leicester KKomrades,University of Leicester,49,,3,Yer Course,Liverpool John Moores University,91,,23,Warwicks Neighbours from Hell,Coventry University,87,,23,Smashampton 2,University of Southampton,14,,,Yraco,Oxford Brookes University,2,,,Simon Bentivoglio,Brunel University,5,,23,Kyle O'Mullane,University of Sheffield,5,,23,James Tutak,University of East Anglia,9,,,,,,,,FREDMO,University of Winchester,7,,,,,,,,
,25,Cardiff University,602,139,5,128,50,72,46,0,136,4,0,0,22,0,0,0,,,7,BU Bad bois,Bournemouth University,88,,1,Trent Thunder Dota Pink,Nottingham Trent University,23,,3,Scrambled Fanclub,University Of Kent,87,,11,dot exe,University of Exeter,47,,11,Luff Said,Loughborough University,47,,,Essex SoundCloud rappers,University Of Essex,91,,,Newcastle Lions A,Newcastle University,87,,24,Great Kent Offensive B,University of Kent,13,,,Marcymarccc,Roehampton University,2,,,Vinayak Mukhia,City University Of London,5,,24,Jordan Grant-Smith,University of Greenwich,5,,24,Kurias Paul,University of Warwick,8,,,,,,,24,Zebriel,Oxford Brookes University,5,,,,,,,,
,26,University of Lincoln,593,60,17,206,85,56,135,0,28,0,0,1,2,0,0,3,,,8,StratherS,University Of Strathclyde,86,,2,Bluejays UEA,University of East Anglia,22,,,Lancaster Retirement Home,Lancaster University,87,,12,Leeds DLC,University of Leeds,45,,12,Kentucky Fried Chicken,University of Kent,45,,5,York Pun Name,University Of York,85,,25,Noble Notts,University Of Nottingham,84,,25,UWE Sea Stags Black,University of the West of England,12,,25,Polopp,University of Warwick,,,25,Alex M,Queens University Belfast,3,,25,Kevin Kovacs,University of Hertfordshire,5,,25,Gregory Stanger,Loughborough University,7,,,,,,,,Bartosz,Oxford Brookes University,5,,,,,,,,
,27,University of Reading,590,18,0,28,104,94,173,19,54,0,1,0,52,0,47,0,,,9,UWE Sea Stags Black,University Of The West Of England,84,,3,Uni of Glasgow,University Of Glasgow,20,,5,Bristol Warriors,University Of Bristol,81,,Division 3,,,,,Division 3,,,,,,Portsmouth Potatoes,University Of Portsmouth,85,,26,Portsmouth Paladins,University Of Portsmouth,82,,26,York No Johns,York St John University,11,,,MrJohnGalt,Imperial College London,,,,Ben Surgey,University of Gloucestershire,3,,26,Nicolas Fedor,University of Surrey,5,,26,Adam Matthews,Cardiff University,7,,,,,,,,or4nge,Imperial College London,5,,,,,,,,
,28,University of Sheffield,585,171,114,124,29,26,30,0,86,0,0,5,0,0,0,0,,,10,aimbridge,University Of Cambridge,82,,4,Royal Bears,Royal Holloway University Of London,19,,,UCL Blew,University College London,81,,1,Cardiff Comrades,Cardiff University,43,,1,The Project,University of Abertay Dundee,43,,,Warwick Inappropriate,University Of Warwick,85,,27,Cardiff Crusaders,Cardiff University,80,,27,KrystalChaos,Staffordshire University,10,,,Cryn0n,University of Bristol,,,,Benjamin Godwyll,Brunel University,3,,27,Adil Mushtaq,Royal Holloway University of London,4,,27,Joseph Howes,University of Hertfordshire,7,,,,,,,,Blues,University of Essex,5,,,,,,,,
,29,Royal Holloway University of London,579,112,19,105,112,39,25,0,142,0,0,22,0,0,3,0,,,11,Soton Savages,University Of Southampton,80,,5,Sheffield Shockwave,University Of Sheffield,18,,,The Salford Lions,University Of Salford,81,,2,drywalldrinkers,Staffordshire University,41,,2,Warwick 1st Team,University of Warwick,41,,,Staffordshire Samba,Staffordshire University,85,,28,SLUGS,University Of Sheffield,78,,28,BANGOR SMASH,Bangor University,8,,,Pythagorwalrus,University of Surrey,,,,Elliot Birch,University of the West of England,3,,28,Daniel Long,University of Nottingham,4,,28,Brandon Marr,University of Exeter,6,,,,,,,28,Big Wheel,University of Nottingham,3,,,,,,,,
,30,Coventry University,563,43,0,126,84,53,11,0,109,21,0,57,59,0,0,0,,,12,Brunel A,Brunel University,78,,6,Surrey_Rubix,University of Surrey,17,,,Coventry Blaze,Coventry University,81,,3,Newcastle Uni,Newcastle University,39,,3,Royal Siege six,Royal Holloway University of London,39,,9,Leeds Gryphons,University Of Leeds,75,,29,Sussex Sharks 1,University Of Sussex,76,,29,Bournemouth Barracudas,Bournemouth University,7,,,SimplyFenton,Aberystwyth University,,,,Felix Hesketh-Hill,Bangor University,3,,29,Toby Winston,Oxford Brookes University,3,,29,Rusyaidi,Coventry University,6,,,,,,,,Stance,Bangor University,3,,,,,,,,
,31,Roehampton University,502,28,0,163,127,0,75,0,88,8,0,0,13,0,0,0,,,13,You Shall Not Bath,University Of Bath,76,,7,Lancaster Hurricane,Lancaster University,16,,9,AstonApesLOL,Aston University,69,,4,Lancaster Bomber,Lancaster University,37,,4,STG,University of Southampton,37,,,Durham Demons,Durham University,75,,30,Roehampton Yetis,Roehampton University,74,,30,Salford Cubs,University of Salford,6,,,Skaledor,University of the West of England,,,,Joseph Cox,University of Bristol,3,,30,Michael Cabrera-Yap,Royal Holloway University of London,3,,30,Johnny Bean,Edge Hill University,6,,,,,,,,Gee,Kings College London,3,,,,,,,,
,32,Imperial College London,499,155,63,128,0,31,75,16,23,3,0,0,0,0,5,0,,,14,Keele Krakens A,Keele University,74,,8,Xero Tolerance for year 2,University Of Warwick,15,,,Rift Assassins,University Of Sussex,69,,5,Dundee Vanguard,University of Dundee,35,,5,Watt Wyverns,Heriot Watt University,35,,,No Roeetations,University Of Liverpool,75,,31,STIRLING GSOC,University Of Stirling,72,,31,West London Wyverns 2021,University of West London,4,,,,,,,,Oliver Drakeford,Staffordshire University,3,,31,James Whitelaw,Sheffield Hallam University,2,,31,John Greenough,University of Cambridge,5,,,,,,,,TENXSEI,Teesside University,3,,,,,,,,
,33,Oxford Brookes University,473,13,0,0,28,107,34,2,202,2,0,74,1,0,10,0,,,15,Hoodersfeeyald Hoonds,University Of Huddersfield,72,,9,Skybath Mages,University of Bath,14,,,Vanix Black Temp,Staffordshire University,69,,6,Caledonian Chargers OW,Glasgow Caledonian University,33,,6,Reeeeeeeeds,University of Leeds,33,,,Roe Exodia,Roehampton University,75,,32,Northumbria Vikings,Northumbria University,70,,32,Toon and City,Newcastle University,4,,November,,,,,,Owen Roberts-McIntosh,De Montfort University,3,,32,Ethan O'Malley,University of Portsmouth,2,,32,Ed Haskell,Edge Hill University,5,,,,,,,,qcHeavy,Manchester Metropolitan University,3,,,,,,,,
,34,University of Salford,455,0,0,186,0,12,185,60,12,0,0,0,0,0,0,0,,,16,Royal Bears CSGO,Royal Holloway University Of London,70,,10,Sand Kings College 2021,Kings College London,13,,,FPX ACADEMY,University Of The Arts London,69,,7,BCUseless,Birmingham City University,31,,7,Blue Dragon Swansea,Swansea University,31,,,Teesside Insurgency,Teesside University,75,,,,,,,33,The Horde,Staffordshire University,3,,1,Temlozz,University of Birmingham,17,,33,Adren Poulard,Aberystwyth University,1,,33,Michael Goodman,Lancaster University,2,,33,Aiden Rooney,Staffordshire University,5,,,,,,,,Jagi,Glasgow Caledonian University,3,,,,,,,,
