Brunel CSGO TEAM B UHHH,118,8
Abercadabra,119,8
Lancaster Team 3,120,7
PARTIBOIS STINGZONE,121,7
Notts For Glory 2,122,6
Clownter Strike,123,6
MMU Minotaurs 2,124,6
UoB eSports Charlie,125,6
Kebaby,126,5
UWE Sea Stags White,127,5
Warmup,128,5
Rejexeter,129,5
Kent Touch This 2,130,4
Trent Thunder Ruby,131,4
CUT3ST,132,4
Swans in Sweatpants,133,4
Team Freshers,134,3
Queen and Kentry,135,3
Students in Pyjamas,136,3
Valorant Enjoyers,136,3
Fawns,137,2
MMU MINOTAURS 3,138,2
Sussex Rays,139,2
m3tric,140,2
UCL Happy to B Here,141,1
BU Barracudas Red,142,1
SUSSex,143,1
Cardiff Clearwater Revival,144,1
UoB eSports Delta,145,0
Brookes Team 3,146,0
Hoodersfeeyald Hoonds,147,0
Spray and Pray,148,0
Dreadnought,149,0
UoN Gorillas,150,0
mouse1 enjoyers,151,0
Remember the blanket,152,0
Warwick First Team,153,0
Middlesex Mafia Gold,154,0
AstonApesCSGO,155,0
The Harriers,155,0
FortnitePizza43,156,0
Swansea Storm Dragons,157,0
Loughbruh Fusion,158,0
Chi Challengers Esports,159,0
EXEstential Crisis,159,0
Da Cool Kids,160,0
Bot Gang,161,0
FlashBangor,161,0
CUT3R,162,0
de_nuke_defenders,163,0
Team Choir of Angels,164,0
Roehampton Hydras 2,165,0
Keele Krakens B,166,0
Nott Gonna Get a Kill,167,0
Novas With Attitude,168,0
We couldnt agree on a name,169,0
TeaM4nchester,170,0
666ix,171,0
Aston Angels CSGO,172,0
Watt Are You Doing,173,0
Essex Esports,174,0
Flying Scouser,175,0
Eating Huel,176,0
UCrackedL,177,0
we_tried,178,0
Warwick W0lves 2,179,0
QUBread,180,0
SHU Money Crew,181,0
Team C,182,0
YorkByte,183,0
UWE Sea Stags Orange,184,0
UEA EAGLES,185,0
Durham Disasters,186,0
PINNK,187,0
Longjohns Silvers,188,0
Warwick Ducks,1,150
B R I Z B O Y S,2,127
No one is safe,3,116
UCL Instant Reflex,4,108
LancasterVortex,5,100
Blood Bath,6,92
Durham Dog,7,84
UoP Paladins,8,76
KCL Lions 2021,9,68
Cambridge Dota,10,60
Imperial Bonobos,11,52
Warwick Shmucks,12,47
Sheffield Shockwave,13,43
xD,14,39
StAGS Dota,15,35
Surrey_Rubix,16,31
Sheffield Samurai,17,28
Bangor_Brewmasters,18,27
Lidl gaming,19,26
UWE Sea Stags,20,24
Bluejays UEA,21,23
Trent Thunder Dota Pink,22,22
Uni of Glasgow,23,20
UCL AfterShock,24,19
Sussy Sharks,25,18
Royal Bears,26,17
Simperial,27,16
Skybath Mages,28,15
Brums of Endurance,29,14
Swasnea Vibe,30,13
B R I Z B O Y S 2,31,12
Sand Kings College 2021,32,11
Maxs Team,33,10
NotVeryPoggers,34,9
Cardiff Immortals,35,8
Strathclyde Stranglers,36,7
Staffordshire stampede,37,6
Northumbria Vikings Dota,38,6
LancasterHurricane,39,5
