hallam inters,sheffield hallam university,1
m9 kekless,university of manchester,0
letrolls,loughborough university,0
cass in boots,university of leeds,0
angry swans,university of lincoln,0
bangor lol team 2,bangor university,0
big duck energy,durham university,0
irate irons,university of glasgow,0
pork benson,university of sunderland,0
cal x james1,birmingham city university,0
unarmed and dangerous,university of manchester,0
london staffs cepheus,staffordshire university,0
the church of siontology,university of dundee,0
tcg,staffordshire university,0
salford mufasas,university of salford,0
watts my jungle doing,heriot watt university,0
trent thunder red,nottingham trent university,0
5 man botlane,university of birmingham,0
mmu minotaurs team 3,manchester metropolitan university,0
needlessly large rod,university of leicester,0
uea pelicans,university of east anglia,0
t2 eboracum esports ysj,york st john university,0
yummy krug,durham university,0
uol blebs,university of lincoln,0
cosmic cats,de montfort university,0
grey warwick,university of warwick,145
grey warwick academy,university of warwick,132.5
exe machina,university of exeter,123
false facade,queen mary university of london,123
lowhampton,roehampton university,115
swansea tsunami,swansea university,111
konrads kids,university of bath,105
scrambled fanclub,university of kent,105
bristol warriors,university of bristol,97
deus exe,university of exeter,97
kardiff kittens,cardiff university,91
kcl lions,kings college london,87
surrey wardens,university of surrey,81
svge lol red,university of southampton,81
reading knights aka tsm 2,university of reading,69
fpx academy,university of the arts london,69
kcl apelsin,kings college london,69
rift slayers,university of sussex,69
swansea tempest,swansea university,59
ucl exodus,university college london,55
coventry blaze,coventry university,50
boosted bristol v3,university of bristol,50
royal bears,royal holloway university of london,44
brunel bangers,brunel university,44
fmo,university of kent,44
middlesex mafia blue,middlesex university,44
roehampton dragons,roehampton university,39
intersatherts,university of hertfordshire,37
reading 2,university of reading,34
intperial,imperial college london,34
light black warwick,university of warwick,29
rift assassins,university of sussex,29
big bad warwick,university of warwick,29
plymouth leviathans alpha squad,university of plymouth,29
imperiai ciowns,imperial college london,27
whose toes are those,cardiff university,26
psy 5,roehampton university,26
ucl djj,university college london,26
surrender,university of surrey,24
sigma kayle,university of cambridge,24
big bath bombers,university of bath,24
ic boosted broadband,imperial college london,24
last whisper,queen mary university of london,21
single dingle,oxford university,20
svge lol yellow,university of southampton,20
uwe sea stags black 21_22,university of the west of england,19
middlesex mafia cyan,middlesex university,19
westminster dragons,university of westminster,19
westminster dragons,university of westminster,19
bristol bee vers,university of bristol,17
svge lol orange,university of southampton,17
ucl blew,university college london,16
chimps 2,brunel university,15
league fire 1,coventry university,15
rabbit,brunel university,14
kclyellow,kings college london,14
makka pakka,university of hertfordshire,13
roehampton wendigos,roehampton university,13
tech park tyrants,university of chichester,12
hench & benched,university of kent,12
rift clappers,university of sussex,11
bright0n pirates,university of brighton,11
swansea tide turners,swansea university,10
warwick reborn,university of warwick,10
flying slippers,university of west london,9
papa johns warwick,university of warwick,9
portsmouth pirates,university of portsmouth,8
middlesex mafia azure,middlesex university,7
overexetenders,university of exeter,7
